proverbs ,meaning
Ijó àjójù ní ń mú kí okó eégún yọ jáde. ,One should exercise restraint in performing even pleasurable activities.
"Ìkánjú òun pẹ̀lẹ́, ọgbọọgba",Great haste offers no advantage over patience.
Ìkekere ń fọ̀rọ̀ ikú ṣẹ̀rín.,One should not take serious or deadly matters lightly.
Ìkóeruku èèwọ̀ Ifẹ̀; ajá kì í gbó níbòji ẹkùn. ,One should not engage in forbidden or dangerous acts.
Ìkòkò ń seṣu ẹnìkan ò gbọ́; iṣú dénú odó ariwó ta. ,"Matters disclosed only to prudent people can be contained, but once they leak to irresponsible persons, they become broadcast."
Ìkókó ọmọ tó tọwọ́ bọ eérú ni yó mọ̀ bó gbóná.,Experience best teaches that one should avoid dangerous ventures.
"Ikú ń dẹ Dẹ̀dẹ̀, Dẹ̀dẹ̀ ń dẹ ikú.",Said of a person whom people are after but who does everything to become even more vulnerable.
Ikún ń jọ̀gẹ̀dẹ̀ ikún ń rèdí; ikún ò mọ̀ pé ohun tó dùn ní ń pani. ,Overindulgence in good things can result in serious problems.
"Ìlara àlàjù ní ń múni gbàjẹ́, ní ń múni ṣẹ́ṣó. ",Too much envy leads to antisocial behavior.
Ilé nÌjèṣà-á ti ń múná lọ sóko.,The wise person assembles all the materials needed before embarking on a venture.
Iná kì í wọ odò kó rójú ṣayé. ,Whoever ventures into dangerous situations deserves the repercussions.
Iná ò ṣé-é bò máṣọ. ,One should not hide one’s pressing problems but seek help.
Ìnàkí kì í ránṣẹ́ ìjà sẹ́kùn. ,People should not challenge forces they are no match for.
Inú ẹni lorúkọ tí a ó sọ ọmọ ẹni ń gbé.,One should not broadcast one’s secrets to the whole world.
"Inúure àníjù, ìfunra atèébú ní ń mù wá báni. ",One can be too good to others.
Ìpàkọ́ là ń dà sẹ́hìn ká tó da yangan sẹ́nu. ,One should not put the cart before the horse.
"Ìpàkọ́ ò gbọ́ ṣùtì, ìpẹ̀hìndà ò mọ yẹ̀gẹ̀ yíyẹ̀. ",The best response to insults is to disregard them.
"Isà tí ò lójú Alalantorí ń dẹ ẹ́, áḿbọ̀ǹtorí àgbá ikún. ",A person who watches his or her pennies is not likely to be careless with dollars.
Isán ni à ń mọ olè; ìtàdógún là ń mọ dọ́kọ-dọ́kọ. ,Bad habits can be kept secret only so long; they are eventually exposed.
Ìṣẹ́ kì í pani; ayọ̀ ní ń pani. ,Indulgence kills more surely than want.
"Iṣẹ́ tí a kò ránni, òun ìyà ló jọ ń rìn.",One usually rues doing things one has no business doing.
Itọ́ tí a tu sílẹ̀ kì í tún padà re ẹnu ẹni mọ́.,"Once one has said something, one cannot take it back."
Ìtọ́jú ló yẹ abẹ́rẹ́. ,One should pay special attention to matters that are very delicate.
Ìtọsẹ̀ ló nìlú. ,Investigating matters well before acting helps maintain harmony in a group.
"Ìwà òní, ẹjọ̀ ọ̀la. ",The foolish behavior of the present sows the seeds of difficulties for the future.
Ìyá là bá bú; bí a bú baba ìjà ní ń dà. ,One should measure one’s insults in order to avoid a fight; a father is valued well over a mother.
Iyán àmọ́dún bá ọbẹ̀. ,Whenever one’s good fortune comes will be time enough to enjoy it.
"Iyán mú, ìrẹ́ yó; ìyàn-án rọ̀, ìrẹ́ rù. ",One should husband one’s resources wisely and save for lean times in times of plenty.
Ìyàwó la bá sùn; ọkọ ló lóyún. ,The person directly involved in a matter does not make as much fuss as the person only tangentially involved.
Ìyàwó ò fọhùn ó fọ́jú.,Persons newly arrived in a place or a company should shut their mouths and open their eyes so that they learn the customs before speaking.
Ìyẹ̀wù kan ṣoṣo ò lè gba olókùnrùn méjì. ,Make adequate provisions for whatever one contemplates doing.
Já ewé ọ̀pọ̀tọ́ kí o ríjà eèrùn; jáwé bọ ẹnu kóo ríjà odi. ,Whoever takes unnecessary risks will very likely face dangerous consequences.
Jayé-jayé fi ẹ̀lẹ̀ jayé; báyé bá já kò ní àmúso. ,One should observe moderation in all things.
Jẹ kí o yó oògùn ni kò sunwọ̀n. ,Anything without measure is dangerous.
Jẹ ẹ́ kí ọmọ ó ti ọwọ́ ìyá ẹ̀ kú wá. ,One should not become involved in the affairs of a person intent on his or her own ruin.
"Kàkà kí ó sàn lára ìyá àjẹ́, ó fi gbogbo ọmọ bí obìnrin; ẹye ń gorí ẹyẹ. ","Despite all efforts, the fortunes of a person may continue to be bad."
"Kàkà kí ọmọ ó bẹ̀bẹ̀ ọ̀ràn, òmíràn ni kò ní-í ṣe mọ́. ",One should look to the future and not dwell on past mistakes.
Kànìké tìtorí oókan kùngb . ,It makes no sense to lose control of oneself over trifling matters.
"Kékeré ejò, má foore ṣe é. ",Better to be safe than sorry.
Kékeré la ti ń pa ẹkàn ìrókò; bó bá dàgbà ọwọ́ kì í ká a mọ́. ,One should take care of problems before they become unmanageable.
Kékeré nìmàlé ti ńkọ́ ọmọ ẹ̀ lóṣòó. ,One should do things in a timely manner.
Kèrègbè tí kò lọ́rùn ni yóò júwe bí àgbẹ̀ ó ti so òun kọ́. ,A difficult person prompts others as to the best way to handle him or her.
Kèrègbè tó fọ́ a padà lẹ́hìn odò.,One should know when to stop pursuing an adversary.
"Kí a baà lè mọ̀ pé ìjàpá ṣe ògbóni, wọ́n ní ‘‘Káàbọ̀’’; ó ní ‘‘Awo àbí ọ̀gbẹ̀rì?’’ ",Said of those who unnecessarily flaunt their accomplishments. 
"Kí a baà lè mọ̀ pé Wòrú pa awó, wọ́n ní ‘‘Káàbọ̀’’; ó ní ‘‘Kẹnkẹn làpò.’’ ",Said of people gratuitously proclaiming their accomplishments when no one is interested. 
"Kí á fọn fèrè, ká jámú sí-i, ọ̀kan yóò gbélẹ̀.",No one can hope to perform two conflicting activities at the same time.
Kí á jìnnà séjò tí a ò b lórí; ikú tí yó panni a jìnnà síni. ,One should recognize dangerous situations and keep away from them.
Kí á lé akátá jìnnà ká tó bá adìẹ wí. ,Get rid of the immediate danger before reprimanding those who caused it.
"Kí a máa re tábà ká máa wòkè, kọ́jọ́ tó kanrí ká wo oye ìka tí yó kù. ",One should pay close attention when one is engaged in dangerous work.
Kí á ṣiṣẹ́ ká lówó lọ́wọ́ ò dàbí-i ká mọ̀-ọ ná. ,Riches are nothing if one does not know how to use the wealth.
"Kí á ta sílẹ̀ ká ta s nu, ká má jẹ̀ẹ́ kí tilẹ̀ pọ̀ ju ti inú igbá lọ. ",One should do one’s duty by others but not at the expense of providing for one’s future.
"Kí á tan iná pa agbọ́nrán, ká fọ̀pá gbọọrọ pejò, ká dìtùfù ká fi gbọ̀wẹ̀ lọ́wọ́-ọ Ṣàngó; ní ìṣojú-u Mádiyàn lagará ṣe ń dáni. ",One should adopt the appropriate solution for every problem instead of engaging in long disputes.
"Kí á tó mọ̀ pé kíjìpá kì í ṣe awọ, ó di ọdún mẹ́ta. ","It may take time, but one will eventually realize that no one is invulnerable to misfortune."
Kì í bọ́ lọ́wọ́ èèyàn kó bọ́ sílẹ̀; ọwọ́ ẹlòmíràn ní ń bọ́ sí.,Other people always stand ready to appropriate whatever one carelessly lets slip through one’s fingers.
Kì í ṣe ojú-u kọ̀lọ̀kọ̀lọ̀ ladì ti ń jẹ̀. ,One would be foolish to let down one’s guard when one knows that danger is nearby.
Kì í tán nígbá osùn kó má ba àlà jẹ́. ,"Some people or conditions are so unredeemable that no matter what one does, they persist in being evil."
Kì í tètè yé oníbúrẹ́dì; ó dìgbà tó bá di mẹ́ta kọ́bọ̀. ,People rarely learn to mend their ways until they have suffered some reverses.
Kì í tètè yéni: òwe ńlá ni. ,People tend always to learn wisdom too late.
Kí ni ó yá apárí lórí tó ń mòòkùn lódò? ,One should not unnecessarily endanger oneself.
"Kí ni ológìní ń wá tó fi jóna mọ́le? Ṣòkòtò ló fẹ́ẹ́ mú ni, tàbí ẹrù ní ń dì? ",One should not put oneself in the path of avoidable dangers.
Kí oníkálùkù rọra ṣe é; ìfẹjú òbò ò lè fa aṣọ ya. ,Overexcitement accomplishes little; it is far better to take life easy.
Kìtì ò mọ́là; ká ṣiṣẹ́ bí ẹrú ò da nǹkan. ,One does not guarantee greatness for oneself by slaving.
Kò sí ajá tí kì í gbó; àgbójù ajá là ń pè ní dìgbòlugi. ,No person is without a flaw; unbounded flaws are what give people a bad reputation. 
Kò sí ìgbà tí a dá aṣọ tí a ó rílẹ̀ fi wọ́. ,There will always be time to enjoy what one has worked for; one should not be unduly impatient.
Kò sí ohun tí ń le tí kì í rọ̀. ,Every problem eventually becomes solved somehow. 
Kò sí ohun tí sùúrù-ú sè tí kò jinná.,Forbearance overcomes all things.
Kò sí ohun tó lọ sókè tí kò ní padà wá sílẹ̀. ,One should not be too impatient in anticipating the inevitable. 
Kò sí ohun tó yára pa ẹni bí ọ̀rọ̀ àsọjù. ,One should govern one’s mouth.
Kọkọ-kọkọ ò jẹ́ ká mọ ẹni tí ọ̀ràn ń dùn. ,Habitual overreaction defuses real alarms.
"Kọ́kọ́rọ́ àṣejù, ilẹ̀kùn ẹ̀tẹ́ la fi ń ṣí. ",Excess brings disgrace.
Kòkòrò tó jẹ̀fọ́ jàre ẹ̀fọ́; ìwòn lewéko ń dára mọ. ,A person enticed to a crime is not as guilty as the person who did the enticing.
Kùkùté kan kì í fọ́ni lépo lẹ́ẹ̀mejì.,The same disaster should not befall a person twice; one usually learns from experience.
"Kùn yún, kùn wá bí ikọ̀ eèrà . ",Said of people who are too restless to stay still.
"Làákàyè baba ìwà; bí o ní sùúrù, ohun gbogbo lo ní. ",Common sense and patience are the chief qualities one must have. 
"Làálàá tó ròkè, ilẹ̀ ní ń bọ̀.",No difficulty is without its end.
Labalábá kì í bá wọn n ájà ẹlẹ́gùn-ún; aṣọ-ọ ẹ̀ á fàya.,One should know one’s limitations and act accordingly. 
"Labalábá tó dìgbò lẹ̀gún, aṣọ ẹ̀ á fàya. ",One should be wise enough to know one’s nemesis and avoid it.
"Lù mí pẹ́ , lù mí pẹ́ làpọ́n fi ń lu ọmọ ẹ̀ pa. ",People not used to caring for delicate articles soon destroy them by mishandling.
Màá jẹ iṣu; màá jẹ èrú; ibi ayo ló mọ. ,The greediest appetite will not survive satiation.
Má bà á loògùn ẹ̀tẹ̀. ,The best way out of trouble is not to get into it in the first place.
Má bàá mi ṣeré tí kèrègbé fi gba okùn lọ́rùn. ,Do not ask me to endanger myself needlessly.
Má fi iyán ewùrà gbọ́n mi lọ́bẹ̀ lọ sóko ẹgàn.,Do not use up my meager resources on your way to a place of plenty.
"‘‘Má fi okoò mi dá ọ̀nà,’’ ọjọ́ kan là ń kọ̀ ọ́. ",Whoever does not take a stand to protest the violation of his or her rights will continue to have them violated.
‘‘Má fi tìrẹ kọ́ mi lọ́rùn’’ là ń dá fún apènà àti òwú. ,Do not involve me in your problems as the weft thread got the shuttle entangled.
"Má fìkánjú jayé, awo ilé Alárá; má fi wàà-wàà joyè, awo Òkè Ìjerò; ayé kan ń bẹ lẹ́hìn, ó dùn bí ẹní ńlá oyin. ",Whoever goes about life with patience will reap untold enjoyment from it.
Má ṣe jáfara; àfara fírí ló pa Bíálà; ara yíyá ló pa Abídogun. ,One should avoid extremes in all things.
Mábàjẹ́ ò jẹ́ fi aṣọ ẹ̀ fún ọ̀lẹ bora. ,Whoever values his or her property will not entrust it to worthless people.
‘‘Méè-wáyé-ẹjọ́’’ fọmọ ẹ̀ fọ́kọ mẹ́fà. Méèwáyéẹjọ́ ,"If one wishes to avoid trouble, one should avoid actions certain to result in trouble."
Méjì-i gbẹ̀du ò ṣé-é so kọ́. ,Some propositions are simply too much for anyone to tackle.
‘‘N óò wọ́ ọ kágbó’’ ẹ̀hìn-in rẹ̀ ni yó fi lànà.,Whoever is determined to make trouble for others must be prepared to take some trouble himself. 
Nítorí ará ilé la ṣe ńdá ṣòkòtò ará oko dára. ,"One’s products are one’s advertisement, regardless of whether the recipient knows their quality. "
Nítorí-i ká lè simi la ṣe ń ṣe àì-simi. ,One labors in the present to provide for one’s future.
Nítorí-i ká má jìyà la ṣe ń yá Májìyà lọ́fà.  ,One should not suffer the misfortune one has done everything to avoid.
Nítorí ọjọ́ tí ó bá máa dáràn la ṣe ń sọmọ lórúkọ. ,Each individual has a name and is therefore an independent agent responsible for his or her own actions.
Nítorí ọ̀la la ṣe ń ṣòní lóore. ,What one sows determines what one reaps. 
Nítorí ọlọgbọ́n la ṣe ń dá ẹ̀wù aṣiwèrè kanlẹ̀. ,One who cares about his or her reputation will perform obligations well even when the recipient has no power over him or her. 
Nǹkan mẹ́ta la kì í pè ní kékeré: a kì í pe iná ní kékeré; a kì í pe ìjà ní kékeré; a kì í pe àìsàn ní kékeré. ,Attend to every potential problem early before it gets out of hand.
O bá ẹfọ̀n lábàtà o yọ̀bẹ sí i; o mọ ibi ẹfọ̀n-ọ́n ti wá? ,People should not lay claim to things whose procurement they know nothing about.
Ó dé orí akáhín àkàràá deegun. ,To the shiftless person even the easiest task is onerous.
Ó dé ọwọ́ aláròóbọ̀ ó di níná. ,A shopkeeper is a difficult person to obtain a good bargain from. 
O kò rí àkàṣù ò ń pata sẹ́fọ̀ọ́. ,Said of a person too eagerly anticipating a favor that might not materialize
"O lọ sÍjẹ̀bú ẹ̀ẹ̀kan, o ru igbá àṣẹ bọ̀ wálé. ",Said of a person on whom the impact of an experience is all out of proportion.
Ò ń bá obìnrin ẹ jà ò ń kanrí mọ́nú; o máa nà á lóògùn ni? ,One should moderate one’s response to annoyances.
"Ó ń bọ̀, ó ń bọ̀!’’ ẹ̀wọ̀n là ń so sílẹ̀ dè é. ","For such a thing one would best prepare a snare. If the thought of something fills one with apprehension, one should plot to defeat it."
Ó ní ibi tí tanpẹ́pẹ́ ń gbèjà ẹyìn mọ.,There is a limit to the help one can expect from others.
Ó ní ohun tí àgbá jẹ tẹ́lẹ̀ ikùn kó tó sọ pé èyí yó òun. ,The prudent person prepares himself or herself for all eventualities. 
Ó ní ohun tí àgbá jẹ tẹ́lẹ̀ ikùn kó tó sọ pé ìyà-á yó òun.,"Even when one is prostrated by grief, one does not ignore one’s need to survive. "
Ó ní ohun tí ìbòsí ràn nínú ìjà. ,"No matter what help a person in trouble receives, he or she will still be in for some grief. "
"Ó pẹ́ títí aboyún, oṣù mẹ́sàn-án. ","Sooner rather than later, the day will arrive when one must fulfill one’s obligation or pay one’s debt."
O rí àgbébọ̀ adìẹ lọ́jà ò ń ta geere sí i; ìba ṣe rere olúwa rẹ̀ ò jẹ́ tà á. ,People should think carefully before they assume obligations. 
"O só pa mí mo pọ́nnu lá, o bojúwẹ̀hìn mo dọ̀bálẹ̀, o tiwọ́ bọ̀gbẹ́ ; o f dè mí ni? ","Said by a long-suffering person who has quietly taken a great deal of abuse, when the abuser persists in his or her ill treatment."
"O ṣíwó nílé o kò san, o dóko o ń ṣí ìkòkò ọ̀gẹ̀dẹ̀ wò, o bímọ o sọ ọ́ ní Adéṣínà; bí ṣíṣí ò bá sìn lẹ́hìn rẹ, o kì í sìn lẹ́hìn-in ṣíṣí? ",Obsession with anything is bad.
O wà lọ́rùn ọ̀pẹ ò ḿbá Ọlọ́run ṣèlérí. ,Said of a person who taunts more powerful adversaries even when he or she is in a vulnerable position.
Obìnrin bẹẹrẹ: òṣì bẹẹrẹ. ,Whoever adds wives to wives adds problems to problems.
"Obìnrin tó gégi nígbó Orò, ó gé àgémọ.",Whoever tempts a fate that is known to strike unfailingly has tempted her last.
"Òbò-ó ní ìtìjú ló mú òun sápamọ́ sábẹ́ inú, ṣùgbọ́n bí okó bá dé, òun á sínà fún un. ",Modesty does not indicate a lack of ability or willingness to act decisively.
"Odídẹrẹ́ ní wọn ò lè tí ojú òun yan òun mọ́ ẹbọ; bí wọ́n bá ńdÍfá, òun a sá wọlé.",The smart person should always distance himself or herself from disaster. 
Odídẹrẹ́ ń wolé hóró-hóró bí ẹnipé yó kòó sílé; àgbìgbò n ọ̀wọ̀ràn ń wohò igi bí ẹnipé kò tibẹ̀ jáde. ,"Some people fail to appreciate their assets, while others envy them what they have"
Òfèèrèfé ò ṣé-é fẹ̀hín tì. ,One should not trust in emptiness.
Ogun àgbọ́tẹ́lẹ̀ kì í pa arọ. ,One must take advantage of foreknowledge to protect oneself.
Ohun à ń jẹ là ń tà; bí epo òyìnbó kọ́. ,One must be selective about which of one’s just desserts one will accept.
"Ohun gbogbo, ìwọn ló dùn mọ. ",One should observe moderation in all things.
Ohun gbogbo kì í pẹ́ jọ olóhun lójú,"A person always attaches excessive value to his or her possessions. Trust a person to exaggerate their value, especially when they are damaged or coveted by others."
Ohun gbogbo kì í tó olè. ,Greed and covetousness are the marks of a thief.
Ohun gbogbo là ń diyelé; ṣùgbọ́n kò sẹ́ni tó moye ara-a rẹ̀; ẹ̀jẹ̀ ò fojú rere jáde. ,People should not devalue their own lives by exposing themselves to unnecessary danger.
Ohun tí a bá máa jẹ a kì í fi runmú. ,Don’t sneer at what you will eventually embrace.
"Ohun tí à bá ṣe pẹ̀sẹ̀, ká má fi ṣe ìkánjú;bó pẹ́ títí ohun gbogbo a tó ọwọ́ ẹni.",One should not shirk present responsibilities in the pursuit of a distant goal.
Ohun tí a bá tẹjúmọ́ kì í jóná. ,Matters to which one devotes one’s undivided attention will not go awry.
Ohun tí a fi ẹ̀sọ̀ mú kì í bàjẹ́ ; ohun tí a fagbára mú ní ń nini lára. ,"A gentle approach will accomplish much, whereas a forceful approach is likely to complicate matters."
Ohun tí a fún ẹlẹ́mọ̀ṣọ́ ní ń ṣọ́. , One would best focus only on the task assigned.
Ohun tí a ò pé yó dẹrù ní ń diṣẹ́ . ,Matters that one considers of little significance have a way of becoming insoluble problems.
Ohun tí a rí la fi ḿbọ párá ẹni; bí igi tíná ń bẹ lẹ́nu ẹ̀ kọ́. ,Every seemingly sensible generalization has exceptions.
Ohun tí ajá rí tó fi ń gbó ò tó èyí tí àgùntán fi ń ṣèran wò. ,Some people make mountains out of other people’s molehills.
Ohun tó bá wu olókùnrùn ní ń pa á.,Whatever one is addicted to is likely to prove one’s undoing.
Ohun tó bá wu ọmọ-ọ́ jẹ kì í run ọmọ nínú.,One is always willing to endure sacrifices in order to have whatever one craves.
Òjijì là ń rọ́mọ lọ́wọ́ alákẹdun. ,One need not announce ahead of time what feat one will perform.
"Òjò kan kì í báni lábà ká jìjàdù ọ̀rọ̀-ọ́ sọ; bí ẹ̀gbọ́n bá sọ tán, àbúrò á sọ. ","When there is a surfeit of a commodity, there is no sense in scrambling to get some of it."
"Òjò ń rọ̀, Orò ń ké; atọ́kùn àlùgbè tí ò láṣọ méjì a ṣe ògèdèm̀gbé sùn. ","If one has not made provisions for rainy days, when they come one must suffer the attendant hardship."
Ojú abẹ ò ṣé-é pọ́nlá. ,Never engage in dangerous behavior.
 Ojú àwòdì kọ́ ladìẹ ń re àpáta.,One does not engage in culpable activity in the presence of those charged with upholding discipline.
"Ojú ìmàle ò kúrò lọ́tí, ó bímọ ẹ̀ ó sọ ọ́ ní Ìmórù-máhá-wá. ","One’s addiction will always manifest itself, however much one might hide it. In a variant, the father names the child Lèmámù."
 Ojú kan làdá ń ní.,One should be true to one calling or relationship and not philander.
Ojú kan náà lèwe ń bágbà. ,Sooner or later the youth becomes an elder; patience is all.
Ojú là ń gbó re ọ̀nà Ìbàdàn’’; ó fi ogún ọ̀kẹ̀ gbàdí. ,One should take the necessary precautions when one embarks on a dangerous venture.
Ojú ní ń kán ọkọlóbìnrin; àlè méjì á jà dandan. ,One should not be overly anxious for results that are inevitable anyway.
‘‘Ojú ò f rakù’’ tó ta ajá ẹ̀ lókòó; ó ní bó bá jẹ́ bẹ́ẹ̀ ni wọ́n ńtà á wọn a máa tún ara-a wọn rí. ,"If someone sells you an item at a ridiculously low price, you may expect to see that person again soon."
Ojú ológbò lèkúté ò gbọdọ̀ yan. ,One cannot afford to be careless in the presence of powerful enemies.
"Ojú tí kì í wo iná, tí kì í wo òòrùn; ojú tí ń báni dalẹ́ kọ́. ","From early indications, one can tell what friendships or possessions will prove lasting. "
Ojú tí yóò báni dalẹ́ kì í tàárọ̀ ṣepin. ,Relationships that will last will not become onerous right at the start. 
Ojúkòkòrò baba ọ̀kánjúà. ,The envious and the covetous are similar.
Ojúlé ló bá wá; ẹ̀bùrú ló gbà lọ́; ó dÍfá fún àlejò tí ń fẹ́ obìnrin onílé. ,Whoever abuses hospitality will depart in disgrace.
Òkèlè gbò-ọ̀-gbò-ó fẹ ọmọ lójú toto., A person who bites off more than he can chew will suffer in the process of trying.
Òkèlè kan ní ń pa àgbà. ,"The smallest thing, if not accorded the proper attention, can be the death of even the most powerful person."
"Òketè baba ogun: bí a ṣígun, olúkúlùkù ní ń di òketè-e ẹ̀ lọ́wọ́. ","For all tasks, adequate preparations are mandatory."
Òkété tó bọ́ ìrù-ú mọ̀ pé ìpéjú ọjà ọrún òun ló sún. ,One should take a near-disaster as a warning.
Òkìpa ajá la fi ń bọ Ògún.  ,One should use material proper for the occasion.
Òkò àbínújù kì í pẹyẹ.  ,Whatever one does in anger is likely to go awry.
Oko ni gbégbé ń gbé. ,Everything in its proper place. 
Òkò tí ẹyẹ́ bá rí kì í pẹyẹ.,"If one sees danger approaching, one will take precautions."
Òkóbó ò lè fi alátọ̀sí ṣẹ̀sín. ,A person who has a blemish should not make fun of other people’s blemishes.
Òkú àjànàkú là ń yọ ogbó sí; ta ní j yọ agada séerin?,One dares taunt a powerful adversary only when he has been neutralized. 
Okùn àgbò kì í gbèé dorí ìwo. ,Seemingly minor difficulties soon become unmanageable problems.
Olè kì í gbé gbẹ̀du. ,One should not attempt a risky business one has no hope of pulling off.
Olójútì logun ń pa.,Discretion and a thick skin are sometimes much better than valor.
Olóògbé ò jẹ́wọ́; atannijẹ bí orun. ,One can always feign sleep to avoid engaging in discussions.
Olóòlà kì í kọ àfín.,There are some tasks that are beyond the scope of experts.
"Olórìṣá gbé ààjà sókè, wọ́n ní ire ni; bí ire ni, bí ibi ni, wọn ò mọ̀. ",It is foolhardy to presume to know what is in other people’s minds.
Omi là ń kọ́-ọ́ tẹ̀ ká tó tẹ iyanrìn. ,One should attend to the most urgent matters first.
"Òní, adìẹẹ̀ mí ṣìwọ̀; ọ̀la, adìẹẹ̀ mí ṣìwọ̀; ọjọ́ kan la óò fẹ́ àìwọlé adìẹ kù. "," Little errors, if not checked, will result in a major blunder. "
"Òní, babá dákú; ọ̀la, babá dáku; ọjọ́ kan ni ikú yóò dá baba. ",Frequent close calls with death will eventually lead to real death. Compare the foregoing and following entries
"Òní, ẹṣín dá baba; ọ̀la, ẹṣín dá baba; bí baba ò bá yé ẹṣin-ín gùn, ọjọ̀ kan lẹṣin óò dá baba pa. ",One should take warning from little disasters.
"Onígbàjámọ̀ ń fárí fún ọ, ò ń fọwọ́ kàn án wò; èwo ló máa kù fún ọ níbẹ̀. ","Once the end is clear, one should stop being anxious about developments."
"Onílé ń relé wọ́n ní oǹdè ń sá; oǹdè ò sá, ilé ẹ̀ ló lọ. ",A strategic retreat to regroup is not the same as giving up the fight.
"Ònímónìí, ẹtú jìnfìn; ọ̀lamọ́la, ẹtú jìnfìn; ẹran mìíràn ò sí nígbó ni? ","If the same person gets into trouble every time, the person needs to look to himself or herself. "
Onínúfùfù ní ń wá oúnjẹ fún oníwẹ́rẹ́wẹ́rẹ́,The even-tempered person will always have the advantage of the hot-tempered person.
Oníṣu ní ń mọ ibi iṣú gbé ta sí.  ,One should not presume to know more about an affair than the person most intimately involved.
Onísùúrù ní ń ṣe ọkọ ọmọ Aláhúsá. ,Patience overcomes all obstacles.
Oókan ni wọ́n ń ta ẹṣin lọ́run; ẹni tí yó lọ ò wọ́n; ṣùgbọ́n ẹni tí yó bọ̀ ló kù. ,"Setting out on dangerous ventures is the easiest thing in the world, but their repercussions prove to be unspeakable."
Oókan-án sọni dahun; eéjì-í sọni dàpà. ,One who has little seems a miser; one who has plenty becomes careless with money.
Ooré di ẹrẹ̀ lÁwẹ́ ; àwọn igúnnugún ṣoore wọ́n pá lórí. ,"One should be careful about doing favors, lest they come back to haunt one. "
Òòrẹ̀ ní ń ṣẹ́gi tí a ó fi wì í. ,The incautious person will provide the instrument for his own undoing.
Oore ọ̀fẹ́ gùn jùwàásù. ,Said of people who are long-winded.
"Oore tí Agbé ṣe lỌ́fà, ó dagbe. ",One should learn from Agbe’s example and be prudent in doing favors.
"Oore tí igúnnugún ṣe tó fi pá lórí, tí àkàlá ṣe tó fi yọ gẹ̀gẹ̀, a kì í ṣe irú ẹ̀. ",One should not do favors that will result in one’s own ruin. 
"Ooré pọ̀, a fìkà san án.  ",Too great a favor provokes enmity.
Orí ejò ò ṣé-é họ imú.  ,Never expose yourself to unnecessary danger.
Orin ní ńṣíwájú ọ̀tẹ̀. ,People about to engage in a plot will first spar to sound one another out.
"Orin tí a kọ lánàá, tí a ò sùn, tí a ò wo, a kì í tún jí kọ ọ́ láàárọ̀. ",Yesterday’s problems should be gone with yesterday.
Òrìṣà kékeré ò ṣé-é há ní párá.,Some things may seem insignificant yet must not be taken lightly.
Òròmọ-adìẹ ò màwòdì; ìyá ẹ̀ ló màṣá. ,The young are neither as experienced nor as careful as the old.
"Òṣé ní ń ṣíwájú ẹkún; àbámọ̀ ní ń gbẹ̀hìn ọ̀ràn; gbogbo àgbà ìlú pé, wọn ò rí oògùn àbámọ̀ ṣe. ",One can only regret an error once it has been committed; there is no undoing it.
"Oúnjẹ tí a ó jẹ pẹ́ , a kì í bu òkèlè-e rẹ̀ tóbi. ",Wise husbandry is the medicine for lasting prosperity.
Owó ò bá olè gbé. ,A thief and money are incompatible neighbors; never trust a thief with money.
Òwúyẹ́ ; a-ṣòro-ó-sọ bí ọ̀rọ̀.,The matter under reference is so delicate it almost does not bear speech.
Oyún inú: a kì í kà á kún ọmọ-ọ tilẹ̀. ,One should not treat anything hoped for as though it were already in hand.
Ọ̀bánijà ní ń mọ ìjagun ẹni.  ,Only through close association does one know other people.
Ọ̀bàrà gba kùm̀mọ̀; ó dÍfá fún a-láwìí-ì-gbọ́.,The obstinate person is asking for cudgel blows.
"Ọ̀bàyéjẹ́ , tí ń ru gángan wọ̀lú. ",Apostrophe addressed to troublemakers
 ‘‘Ọbẹ̀ lọmú àgbà’’ ló pa onígbaǹso Ògòdò.,Addiction kills.
"Ọ̀bẹ ṣìlò-ó ń báni ṣeré a ní kò mú, bí eré bí eré ó ń pani lọ́wọ́. ","Be careful not to underestimate people who do not advertise themselves; otherwise, they will have you prostrate before you know what is happening."
Ọbẹ̀ tóo sè tílé fi jóná wàá sọ ọ́. ,You must explain the unheard-of behavior that resulted in such a disaster.
Ọ̀bẹlẹ̀wò bẹlẹ̀wò; bí ewúrẹ́ yó bàá dùbúlẹ̀ a bẹ ilẹ̀ ibẹ̀ wò. ,Look well at the lay of the land before engaging in any new venture.
Ọ̀bọ ni yo para ẹ̀. ,Fools will bring their own undoing upon themselves.
Ọ̀daràn ẹyẹ tí ń musàn. ,Addressed to any person whose actions are likely to lead to some disaster.
Ọ̀dárayá tí ńfi ẹ̀gbẹ́ na igi. ,Said of a too-cheerful person whose excess energy is getting on others’ nerves.
Ọdẹ a-fi-fìlà-pa-erin: ọjọ́ kan ni òkìkí-i rẹ̀ ń mọ. ,Whoever promises to do the impossible enjoys fame only as long as it takes for the impossibility to be manifest.
"Ọ̀gá-a má fi ẹsẹ̀ yí ẹrẹ̀, gbogbo ara ní ń fi yí i. ",Too much squeamishness is its own undoing.
Ọ̀gán ìmàdò ò ṣéé kò lójú.,One would be wise to avoid dangerous people.
Ọ̀gẹ̀dẹ̀ ń bàjẹ́ ; a ní ó ń pọ́n. ,It does not help to rationalize a brat’s behavior with silly explanations.
Ọ̀gọ̀ ń gbé ọ̀gọ rù.,A person is cultivating the means to his or her own ruin.
